Dates,Name,Total Current Assets,Total Current Liabilities,Operating Income,Total Revenue,Free Cash Flow over last 4 years,Buy
2023-12-31,KO,26732000000.0,23571000000.0,13083000000.0,45754000000.0,9747000000.0,0
2022-12-31,KO,22591000000.0,19724000000.0,12042000000.0,43004000000.0,9534000000.0,0
2021-12-31,KO,22545000000.0,19950000000.0,11039000000.0,38655000000.0,11258000000.0,0
2020-12-31,KO,19240000000.0,14601000000.0,9725000000.0,33014000000.0,8667000000.0,0
2023-12-31,ABBV,33002000000.0,37841000000.0,12757000000.0,54318000000.0,22062000000.0,0
2022-12-31,ABBV,28463000000.0,29538000000.0,18117000000.0,58054000000.0,24248000000.0,0
2021-12-31,ABBV,27928000000.0,35194000000.0,17924000000.0,56197000000.0,21990000000.0,0
2020-12-31,ABBV,24173000000.0,28661000000.0,11363000000.0,45804000000.0,16790000000.0,0
2020-12-31,MRK,27764000000.0,27327000000.0,5548000000.0,41518000000.0,5824000000.0,0
2021-12-31,MRK,30266000000.0,23872000000.0,13199000000.0,48704000000.0,9661000000.0,0
2022-12-31,MRK,35722000000.0,24239000000.0,18282000000.0,59283000000.0,14707000000.0,0
2023-12-31,MRK,32168000000.0,25694000000.0,2954000000.0,60115000000.0,9143000000.0,0
2023-12-31,PEP,26950000000.0,31647000000.0,12913000000.0,91471000000.0,7924000000.0,0
2022-12-31,PEP,21539000000.0,26785000000.0,11357000000.0,86392000000.0,5604000000.0,0
2021-12-31,PEP,21783000000.0,26220000000.0,11162000000.0,79474000000.0,6991000000.0,0
2020-12-31,PEP,23001000000.0,23372000000.0,10122000000.0,70372000000.0,6373000000.0,0
2020-12-31,TMO,21957000000.0,10304000000.0,7893000000.0,32218000000.0,6815000000.0,0
2021-12-31,TMO,20113000000.0,13436000000.0,10225000000.0,39211000000.0,6789000000.0,0
2022-12-31,TMO,25229000000.0,17010000000.0,8507000000.0,44915000000.0,6911000000.0,0
2023-12-31,TMO,24589000000.0,14012000000.0,7318000000.0,42857000000.0,6927000000.0,0
2021-08-31,ACN,19666511000.0,15708867000.0,7621529000.0,50533389000.0,8395016000.0,0
2022-08-31,ACN,21610871000.0,17523496000.0,9367181000.0,61594305000.0,8823131000.0,0
2023-08-31,ACN,23381931000.0,18009038000.0,8809889000.0,64111745000.0,8996096000.0,0
2024-08-31,ACN,20857781000.0,18976127000.0,9595847000.0,64896464000.0,8614518000.0,0
2024-01-31,CRM,29074000000.0,26631000000.0,5999000000.0,34857000000.0,9498000000.0,1
2023-01-31,CRM,26395000000.0,25891000000.0,1858000000.0,31352000000.0,6313000000.0,1
2022-01-31,CRM,22850000000.0,21788000000.0,548000000.0,26492000000.0,5283000000.0,1
2021-01-31,CRM,21889000000.0,17728000000.0,455000000.0,21252000000.0,4091000000.0,1
2023-12-31,ABT,22670000000.0,13841000000.0,6478000000.0,40109000000.0,5059000000.0,0
2022-12-31,ABT,25224000000.0,15489000000.0,8362000000.0,43653000000.0,7804000000.0,0
2021-12-31,ABT,24239000000.0,13105000000.0,8425000000.0,43075000000.0,8648000000.0,0
2020-12-31,ABT,20441000000.0,11907000000.0,5357000000.0,34608000000.0,5724000000.0,0
2023-12-31,LIN,12620000000.0,15717000000.0,8269000000.0,32854000000.0,5518000000.0,0
2022-12-31,LIN,13047000000.0,16479000000.0,6697000000.0,33364000000.0,5691000000.0,0
2021-12-31,LIN,10159000000.0,13643000000.0,5475000000.0,30793000000.0,6639000000.0,0
2020-12-31,LIN,10924000000.0,13740000000.0,3889000000.0,27243000000.0,4029000000.0,0
2023-12-31,MCD,7986400000.0,6859000000.0,11745600000.0,25493700000.0,7254500000.0,0
2022-12-31,MCD,5424200000.0,3802100000.0,10344600000.0,23182600000.0,5487500000.0,0
2021-12-31,MCD,7148500000.0,4020000000.0,9872700000.0,23222900000.0,7101500000.0,0
2020-12-31,MCD,6243200000.0,6181200000.0,7206500000.0,19207800000.0,4624400000.0,0
2024-04-30,MDT,21935000000.0,10789000000.0,5520000000.0,32364000000.0,5200000000.0,0
2023-04-30,MDT,21675000000.0,9051000000.0,5830000000.0,31227000000.0,4580000000.0,0
2022-04-30,MDT,23059000000.0,12394000000.0,5908000000.0,31686000000.0,5978000000.0,0
2021-04-30,MDT,22548000000.0,8509000000.0,4895000000.0,30117000000.0,4885000000.0,0
2023-12-31,AMGN,30332000000.0,18392000000.0,7897000000.0,28190000000.0,7359000000.0,0
2022-12-31,AMGN,22186000000.0,15687000000.0,9566000000.0,26323000000.0,8785000000.0,0
2021-12-31,AMGN,19385000000.0,12184000000.0,9144000000.0,25979000000.0,8381000000.0,0
2020-12-31,AMGN,21144000000.0,11653000000.0,9139000000.0,25424000000.0,9889000000.0,0
2020-12-31,PYPL,50995000000.0,38447000000.0,3428000000.0,21454000000.0,5353000000.0,0
2021-12-31,PYPL,52574000000.0,43029000000.0,4324000000.0,25371000000.0,4889000000.0,0
2022-12-31,PYPL,57424000000.0,45008000000.0,4044000000.0,27518000000.0,5107000000.0,0
2023-12-31,PYPL,62569000000.0,48466000000.0,4944000000.0,29771000000.0,4220000000.0,0
2023-12-31,INTC,43269000000.0,28053000000.0,31000000.0,54228000000.0,-14279000000.0,0
2022-12-31,INTC,50407000000.0,32155000000.0,2336000000.0,63054000000.0,-9617000000.0,0
2021-12-31,INTC,58558000000.0,27462000000.0,22082000000.0,79024000000.0,9127000000.0,0
2020-12-31,INTC,47249000000.0,24754000000.0,23876000000.0,77867000000.0,21411000000.0,0
2020-12-31,HON,28175000000.0,19197000000.0,6654000000.0,32637000000.0,5302000000.0,0
2021-12-31,HON,25372000000.0,19508000000.0,7473000000.0,34392000000.0,5143000000.0,0
2022-12-31,HON,24982000000.0,19938000000.0,7070000000.0,35466000000.0,4508000000.0,0
2023-12-31,HON,23502000000.0,18539000000.0,7554000000.0,36662000000.0,4301000000.0,0
2023-12-31,RTX,48417000000.0,46761000000.0,5341000000.0,68920000000.0,4717000000.0,0
2022-12-31,RTX,42443000000.0,39114000000.0,7393000000.0,67074000000.0,4393000000.0,0
2021-12-31,RTX,42050000000.0,35449000000.0,7080000000.0,64388000000.0,4629000000.0,0
2020-12-31,RTX,43376000000.0,35848000000.0,1294000000.0,56587000000.0,1639000000.0,0
2020-12-31,TXN,10239000000.0,2390000000.0,6116000000.0,14461000000.0,5490000000.0,0
2021-12-31,TXN,13685000000.0,2569000000.0,9156000000.0,18344000000.0,6294000000.0,0
2022-12-31,TXN,14021000000.0,2985000000.0,10397000000.0,20028000000.0,5923000000.0,0
2023-12-31,TXN,15122000000.0,3320000000.0,7331000000.0,17519000000.0,1349000000.0,0
2024-09-30,QCOM,25231000000.0,10504000000.0,10071000000.0,38962000000.0,11161000000.0,0
2023-09-30,QCOM,22464000000.0,9628000000.0,7788000000.0,35820000000.0,9849000000.0,0
2022-09-30,QCOM,20724000000.0,11866000000.0,15860000000.0,44200000000.0,6834000000.0,0
2021-09-30,QCOM,20075000000.0,11951000000.0,9789000000.0,33566000000.0,8648000000.0,0
2020-12-31,UPS,20216000000.0,17016000000.0,7684000000.0,84628000000.0,5047000000.0,0
2021-12-31,UPS,24934000000.0,17569000000.0,12810000000.0,97287000000.0,10813000000.0,0
2022-12-31,UPS,22217000000.0,18140000000.0,13094000000.0,100338000000.0,9335000000.0,0
2023-12-31,UPS,19413000000.0,17676000000.0,9141000000.0,90958000000.0,5080000000.0,0
2021-05-31,NKE,26291000000.0,9674000000.0,6937000000.0,44538000000.0,5962000000.0,0
2022-05-31,NKE,28213000000.0,10730000000.0,6675000000.0,46710000000.0,4430000000.0,0
2023-05-31,NKE,25202000000.0,9256000000.0,5915000000.0,51217000000.0,4872000000.0,0
2024-05-31,NKE,25382000000.0,10593000000.0,6311000000.0,51362000000.0,6617000000.0,0
2023-12-31,PM,19755000000.0,26383000000.0,12176000000.0,35174000000.0,7883000000.0,0
2022-12-31,PM,19619000000.0,27336000000.0,12222000000.0,31762000000.0,9726000000.0,0
2021-12-31,PM,17717000000.0,19255000000.0,12860000000.0,31405000000.0,11219000000.0,0
2020-12-31,PM,21492000000.0,19615000000.0,11571000000.0,28694000000.0,9210000000.0,0
2023-09-30,SBUX,7303400000.0,9345300000.0,5502900000.0,35975600000.0,3675100000.0,0
2022-09-30,SBUX,7018700000.0,9151800000.0,4429700000.0,32250300000.0,2556000000.0,0
2021-09-30,SBUX,9756400000.0,8151400000.0,4657200000.0,29060600000.0,4519100000.0,0
2020-09-30,SBUX,7806400000.0,7346800000.0,1517900000.0,23518000000.0,114200000.0,0
2023-12-31,IBM,32908000000.0,34122000000.0,9374000000.0,61860000000.0,12121000000.0,0
2022-12-31,IBM,29118000000.0,31505000000.0,8154000000.0,60530000000.0,8463000000.0,0
2021-12-31,IBM,29539000000.0,33619000000.0,6865000000.0,57351000000.0,10028000000.0,0
2020-12-31,IBM,39165000000.0,39869000000.0,4662000000.0,55179000000.0,14967000000.0,0
2023-12-31,BMY,31770000000.0,22262000000.0,8195000000.0,45006000000.0,12651000000.0,0
2022-12-31,BMY,27273000000.0,21890000000.0,9104000000.0,46159000000.0,11948000000.0,0
2021-12-31,BMY,33262000000.0,21868000000.0,8537000000.0,46385000000.0,15234000000.0,0
2020-12-31,BMY,30192000000.0,19080000000.0,2177000000.0,42518000000.0,13299000000.0,0
2023-12-31,PFE,43333000000.0,47794000000.0,3359000000.0,58496000000.0,4793000000.0,0
2022-12-31,PFE,51259000000.0,42138000000.0,37272000000.0,100330000000.0,26031000000.0,0
2021-12-31,PFE,59693000000.0,42671000000.0,23704000000.0,81288000000.0,29869000000.0,0
2020-12-31,PFE,35067000000.0,25920000000.0,8829000000.0,41651000000.0,12177000000.0,0
2023-12-31,CAT,46949000000.0,34728000000.0,12966000000.0,67060000000.0,9793000000.0,1
2022-12-31,CAT,43785000000.0,31531000000.0,8829000000.0,59427000000.0,5167000000.0,1
2021-12-31,CAT,43455000000.0,29847000000.0,6878000000.0,50971000000.0,4726000000.0,1
2020-12-31,CAT,39464000000.0,25717000000.0,4553000000.0,41748000000.0,4212000000.0,1
2023-12-31,SPGI,5143000000.0,6125000000.0,4054000000.0,12497000000.0,3567000000.0,0
2022-12-31,SPGI,5667000000.0,5999000000.0,3019000000.0,11181000000.0,2514000000.0,0
2021-12-31,SPGI,8810000000.0,3815000000.0,4210000000.0,8297000000.0,3563000000.0,0
2020-12-31,SPGI,5988000000.0,3587000000.0,3601000000.0,7442000000.0,3491000000.0,0
2023-12-31,DHR,13937000000.0,8274000000.0,5279000000.0,23890000000.0,5781000000.0,0
2022-12-31,DHR,15883000000.0,8389000000.0,7536000000.0,26643000000.0,7401000000.0,0
2021-12-31,DHR,11648000000.0,8140000000.0,6387000000.0,24802000000.0,7118000000.0,0
2020-12-31,DHR,13802000000.0,7402000000.0,4231000000.0,22284000000.0,5417000000.0,0
